name,url,remote_testing,adaptive_irt,test_types,description,job_levels,duration,languages,key_features,source
Entry Level Hotel Front Desk Solution,/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,TRUE,FALSE,Competencies; Personality & Behavior,"The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment.Report Language Availability:English (USA)",Entry-Level,Approximate Completion Time in minutes = 20,French (Canada); Italian; French; Chinese Simplified; Swedish; Arabic; English (USA); English International; Latin American Spanish; German; Dutch; Norwegian; Finnish; Danish,Competency-based assessment; Personality assessment,Individual Test Solutions
Entry Level Sales Solution,/solutions/products/product-catalog/view/entry-level-sales-solution/,TRUE,FALSE,Competencies; Personality & Behavior,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.Report Language Availability:English (USA)",Entry-Level,Approximate Completion Time in minutes = 20,German; Italian; Chinese Simplified; Finnish; Danish; English (USA); English International; Latin American Spanish; French (Canada); French; Dutch; Norwegian; Swedish; Arabic,Competency-based assessment; Personality assessment,Individual Test Solutions
Entry Level Technical Support Solution,/solutions/products/product-catalog/view/entry-level-technical-support-solution/,TRUE,FALSE,Personality & Behavior; Competencies,"The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operating systems.Report Language Availability:English (USA)",Entry-Level,Approximate Completion Time in minutes = 18,Latin American Spanish; German; Chinese Simplified; Finnish; Danish; English (USA); English International; French (Canada); Italian; French; Dutch; Norwegian; Swedish; Arabic,Personality assessment; Competency-based assessment,Individual Test Solutions
ETL Testing (New),/solutions/products/product-catalog/view/etl-testing-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Executive Scenarios,/solutions/products/product-catalog/view/executive-scenarios/,TRUE,FALSE,Biodata & Situational Judgement,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Director; Executive; Manager,Approximate Completion Time in minutes = Untimed,Italian; English (USA); English International; Korean,Situational judgment test,Individual Test Solutions
Executive Scenarios Narrative Report,/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,TRUE,FALSE,Biodata & Situational Judgement,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Director; Executive; Manager,,English,Situational judgment test,Individual Test Solutions
Executive Scenarios Profile Report,/solutions/products/product-catalog/view/executive-scenarios-profile-report/,TRUE,FALSE,Biodata & Situational Judgement,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Director; Executive; Manager,,English,Situational judgment test,Individual Test Solutions
ExpressJS (New),/solutions/products/product-catalog/view/expressjs-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Filing - Names (R1),/solutions/products/product-catalog/view/filing-names-r1/,TRUE,FALSE,Knowledge & Skills,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,Entry-Level,Approximate Completion Time in minutes = 3,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Filing - Numbers,/solutions/products/product-catalog/view/filing-numbers/,TRUE,FALSE,Knowledge & Skills,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.",Entry-Level,Approximate Completion Time in minutes = 3,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Financial Accounting (New),/solutions/products/product-catalog/view/financial-accounting-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.",Entry-Level; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Financial and Banking Services (New),/solutions/products/product-catalog/view/financial-and-banking-services-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Fire Engineering (New),/solutions/products/product-catalog/view/fire-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Following Instructions v1 - UK (R1),/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,TRUE,FALSE,Knowledge & Skills,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,Entry-Level; Front Line Manager; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English International,Job-specific knowledge assessment,Individual Test Solutions
Following Instructions v1 - US (R2),/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,TRUE,FALSE,Knowledge & Skills,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,Entry-Level; Front Line Manager; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Food and Beverage Services (New),/solutions/products/product-catalog/view/food-and-beverage-services-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Food Science (New),/solutions/products/product-catalog/view/food-science-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Front Office Management (New),/solutions/products/product-catalog/view/front-office-management-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of front office operations.,Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Fundamentals of Chemistry (New),/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Fundamentals of Physics (New),/solutions/products/product-catalog/view/fundamentals-of-physics-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
General Diseases (New),/solutions/products/product-catalog/view/general-diseases-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Geoinformatics Engineering (New),/solutions/products/product-catalog/view/geoinformatics-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.",Mid-Professional; Professional Individual Contributor; Supervisor; Entry-Level; Graduate,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Geoscience Engineering (New),/solutions/products/product-catalog/view/geoscience-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",Mid-Professional; Professional Individual Contributor; Graduate,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
GIT (New),/solutions/products/product-catalog/view/git-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of how to use GIT for version control.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Global Skills Assessment,/solutions/products/product-catalog/view/global-skills-assessment/,TRUE,FALSE,Competencies; Knowledge & Skills,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,General,Approximate Completion Time in minutes = 16,Indonesian; Italian; Swedish; Thai; Portuguese (Brazil); French (Canada); Chinese Simplified; Danish; Finnish; French; German; English International; Japanese; Korean; Latin American Spanish; Norwegian; Polish; Romanian; Spanish; Vietnamese; Chinese Traditional; Arabic; English (USA); Dutch; Portuguese; Turkish,Competency-based assessment; Job-specific knowledge assessment,Individual Test Solutions
Graduate Scenarios,/solutions/products/product-catalog/view/graduate-scenarios/,TRUE,FALSE,Biodata & Situational Judgement,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Graduate Scenarios Narrative Report:  A participant focused report that contains;  
 - Graduate Scenarios profile
 - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management.

Graduate Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Manager; Mid-Professional; Professional Individual Contributor; Graduate,Approximate Completion Time in minutes = Untimed,English International,Situational judgment test,Individual Test Solutions
Graduate Scenarios Narrative Report,/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,TRUE,FALSE,Biodata & Situational Judgement,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Mid-Professional; Professional Individual Contributor; Manager; Graduate,,English,Situational judgment test,Individual Test Solutions
Graduate Scenarios Profile Report,/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,TRUE,FALSE,Biodata & Situational Judgement,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Graduate; Manager; Mid-Professional; Professional Individual Contributor,,English,Situational judgment test,Individual Test Solutions
Hibernate (New),/solutions/products/product-catalog/view/hibernate-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
HIPAA (Security),/solutions/products/product-catalog/view/hipaa-security/,TRUE,TRUE,Knowledge & Skills,"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.",Front Line Manager; Manager,Approximate Completion Time in minutes = 15 to 35,English (USA),Job-specific knowledge assessment,Individual Test Solutions
HiPo Assessment Report 1.0,/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,TRUE,FALSE,Competencies; Personality & Behavior,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",General,,English,Competency-based assessment; Personality assessment,Individual Test Solutions
HiPo Assessment Report 2.0,/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,TRUE,FALSE,Competencies; Personality & Behavior,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",General,,English,Competency-based assessment; Personality assessment,Individual Test Solutions
HiPo Unlocking Potential Report 2.0,/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,TRUE,FALSE,Competencies,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",General,,English,Competency-based assessment,Individual Test Solutions
Housekeeping (New),/solutions/products/product-catalog/view/housekeeping-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",Entry-Level; Front Line Manager; Supervisor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
HTML/CSS (New),/solutions/products/product-catalog/view/htmlcss-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
HTML5 (New),/solutions/products/product-catalog/view/html5-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 11,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Human Resources (New),/solutions/products/product-catalog/view/human-resources-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.",Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
IBM DataStage (New),/solutions/products/product-catalog/view/ibm-datastage-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 15,English (USA),Job-specific knowledge assessment,Individual Test Solutions
IBM Sterling Order Management System (New),/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Industrial Engineering (New),/solutions/products/product-catalog/view/industrial-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Informatica (Architecture) (New),/solutions/products/product-catalog/view/informatica-architecture-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Informatica (Developer) (New),/solutions/products/product-catalog/view/informatica-developer-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 11,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Instrumentation Engineering (New),/solutions/products/product-catalog/view/instrumentation-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Interpersonal Communications,/solutions/products/product-catalog/view/interpersonal-communications/,TRUE,TRUE,Knowledge & Skills,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.",Entry-Level; Front Line Manager; Manager; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 15 to 35,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Interviewing and Hiring Concepts (U.S.),/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,TRUE,TRUE,Knowledge & Skills,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.",Front Line Manager; Manager,Approximate Completion Time in minutes = 15 to 35,English (USA),Job-specific knowledge assessment,Individual Test Solutions
iOS Development (New),/solutions/products/product-catalog/view/ios-development-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
ITIL (IT Infrastructure Library) (New),/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.",Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Java 2 Platform Enterprise Edition 1.4 Fundamental,/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,TRUE,TRUE,Knowledge & Skills,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development.",Entry-Level; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 30,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Java 8 (New),/solutions/products/product-catalog/view/java-8-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 18,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Java Design Patterns (New),/solutions/products/product-catalog/view/java-design-patterns-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Java Frameworks (New),/solutions/products/product-catalog/view/java-frameworks-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 17,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Java Platform Enterprise Edition 7 (Java EE 7),/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,TRUE,TRUE,Knowledge & Skills,"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 30,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Java Web Services (New),/solutions/products/product-catalog/view/java-web-services-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
JavaScript (New),/solutions/products/product-catalog/view/javascript-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Jenkins (New),/solutions/products/product-catalog/view/jenkins-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Job Control Language (New),/solutions/products/product-catalog/view/job-control-language-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
jQuery (New),/solutions/products/product-catalog/view/jquery-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Kubernetes (New),/solutions/products/product-catalog/view/kubernetes-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Linux Administration (New),/solutions/products/product-catalog/view/linux-administration-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Linux Operating System,/solutions/products/product-catalog/view/linux-operating-system/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.",Entry-Level; General Population; Graduate; Professional Individual Contributor,Approximate Completion Time in minutes = 15,English (USA),Job-specific knowledge assessment,Individual Test Solutions
